title,release_date,director,duration,category,actor,resume,press_rating,spectator_rating,friend_rating
Mommy,,Xavier Dolan,2h 19min,Drame,"Anne Dorval,Antoine-Olivier Pilon,Suzanne Clément","Une veuve mono-parentale hérite de la garde de son fils, un adolescent profondément turbulent. Ensemble, ils tentent de joindre les deux bouts, notamment grâce à l’aide inattendue de la mystérieuse voisine d’en face, Kyla.","4,3","4,4",--
Bohemian Rhapsody,,Bryan Singer,2h 15min,"Biopic,Drame","Rami Malek,Gwilym Lee,Lucy Boynton","Du succès fulgurant de Freddie Mercury à ses excès, risquant la quasi-implosion du groupe, jusqu’à son retour triomphal sur scène lors du concert Live Aid, alors qu’il était frappé par la maladie, découvrez la vie exceptionnelle d’un homme qui continue d’inspirer les outsiders, les rêveurs et tous ceux qui aiment la musique.","3,0","4,4",--
Elephant Man,22 juin 2020,David Lynch,2h 05min,"Biopic,Drame","Anthony Hopkins,John Hurt,Anne Bancroft","Londres, 1884. Le chirurgien Frederick Treves découvre un homme complètement défiguré et difforme, devenu une attraction de foire. John Merrick, "" le monstre "", doit son nom de Elephant Man au terrible accident que subit sa mère. ","4,8","4,4",--
Edward aux mains d'argent,,Tim Burton,1h 45min,"Comédie,Fantastique,Romance","Johnny Depp,Winona Ryder,Dianne Wiest","Edward Scissorhands n'est pas un garcon ordinaire. Création d'un inventeur, il a recu un coeur pour aimer, un cerveau pour comprendre. Mais son concepteur est mort avant d'avoir pu terminer son oeuvre...","4,4","4,4",--
Barry Lyndon,19 décembre 2007,,3h 07min,"Aventure,Drame","Ryan O'Neal,Marisa Berenson,Patrick Magee","De l'Irlande à la Prusse, l'histoire d'un jeune intriguant et de son ascension dans la fastueuse société du XVIIIème siècle...","5,0","4,4",--
Sueurs froides,19 mai 2004,Alfred Hitchcock,2h 09min,"Drame,Thriller","James Stewart,Kim Novak,Barbara Bel Geddes","Rendu responsable de la mort d'un collègue, Scottie, sujet au vertige, quitte la police. Une ancienne relation le contacte afin qu'il suive son épouse, possédée selon lui par l'esprit de son aïeule. Scottie s'éprend bientôt de la jeune femme.","3,8","4,4",--
Wall-E,,Andrew Stanton,1h 37min,"Aventure,Animation,Fantastique","Ben Burtt,Elissa Knight,Jeff Garlin","L'histoire d'un petit robot nommé WALL•E, à la recherche du grand amour sur Terre... et dans l'espace !","4,6","4,3",--
La Ruée vers l'or,10 juillet 2019,Charles Chaplin,1h 12min,Comédie,"Mack Swain,Tom Murray","1898, Nord-Ouest du Canada. Alors que des milliers d’aventuriers arpentent le Klondike en quête du métal précieux, Charlot est surpris par une tempête de neige. Il trouve refuge dans une cabane isolée et fait la rencontre de Big Jim McKay et du terrible Black Larsen…","5,0","4,3",--
Le Trou,19 avril 2017,Jacques Becker,2h 12min,"Drame,Thriller","Michel Constantin,Jean Keraudy,Philippe Leroy","Cinq prisonniers, enfermés à La Santé, vont tenter de s'évader en creusant un tunnel.",,"4,3",
1917,,Sam Mendes,1h 59min,"Drame,Guerre","George MacKay,Dean-Charles Chapman,Mark Strong","Pris dans la tourmente de la Première Guerre Mondiale, Schofield et Blake, deux jeunes soldats britanniques, se voient assigner une mission à proprement parler impossible. Porteurs d’un message qui pourrait empêcher une attaque dévastatrice et la mort de centaines de soldats, dont le frère de Blake, ils se lancent dans une véritable course contre la montre, derrière les lignes ennemies.","4,2","4,3",--
Reservoir Dogs,12 août 2009,Quentin Tarantino,1h 39min,"Policier,Thriller","Harvey Keitel,Tim Roth,Michael Madsen","Après un hold-up manqué, des cambrioleurs de haut vol font leurs comptes dans une confrontation violente, pour découvrir lequel d'entre eux les a trahis.","4,5","4,3",--
Alabama Monroe,,Felix Van Groeningen,1h 49min,Drame,"Johan Heldenbergh,Veerle Baetens,Nell Cattrysse","Didier et Élise vivent une histoire d'amour passionnée et rythmée par la musique. Lui, joue du banjo dans un groupe de Bluegrass Country et vénère l'Amérique. Elle, tient un salon de tatouage et chante dans le groupe de Didier. De leur union fusionnelle naît une fille, Maybelle...","3,7","4,3",--
Prisoners,,Denis Villeneuve,2h 33min,Thriller,"Hugh Jackman,Jake Gyllenhaal,Viola Davis","Dans la banlieue de Boston, deux fillettes de 6 ans, Anna et Joy, ont disparu. Le détective Loki privilégie la thèse du kidnapping suite au témoignage de Keller, le père d’Anna. Le suspect numéro 1 est rapidement arrêté mais est relâché quelques jours plus tard faute de preuve, entrainant la fureur de Keller.","3,8","4,3",--
Lettre d'une inconnue,9 février 2022,Max Ophüls,1h 27min,"Drame,Romance","Joan Fontaine,Louis Jourdan,Mady Christians","Vienne 1900. Quelques heures avant l’aube et sur le point d’affronter en duel un adversaire, un mari trompé, qu’il a d’ailleurs l’intention de fuir, Stefan Brand, ex-pianiste célèbre, homme à femmes, reçoit une longue missive d’une inconnue, Lisa Berndle.",,"4,3",
La Grande Vadrouille,13 juillet 2016,Gérard Oury,2h 12min,Comédie," Bourvil,Louis de Funès,Claudio Brook","En 1942, un avion anglais est abattu par les Allemands au-dessus de Paris. Les trois pilotes sautent en parachute et atterrissent dans différents endroits de la capitale. ","3,8","4,3",--
Shining,22 mai 2019,Stanley Kubrick,2h 23min,"Epouvante-horreur,Thriller","Jack Nicholson,Shelley Duvall,Danny Lloyd","Écrivain, Jack Torrance est engagé comme gardien, pendant tout l’hiver, d’un grand hôtel isolé du Colorado – l’Overlook – où il espère surmonter enfin sa panne d’inspiration. Il s’y installe avec sa femme Wendy et son fils Danny, doté d’un don de médium.","4,0","4,3",--
La Mort aux trousses,,Alfred Hitchcock,2h 16min,"Aventure,Policier","Cary Grant,Eva Marie Saint,James Mason","Le publiciste Roger Tornhill se retrouve par erreur dans la peau d'un espion. Pris entre une mystérieuse organisation qui cherche à le supprimer et la police qui le poursuit, Tornhill est dans une situation bien inconfortable.","4,6","4,3",--
Entre le ciel et l'enfer,9 juin 1976,Akira Kurosawa,2h 23min,"Drame,Thriller","Toshirô Mifune,Tatsuya Nakadai,Kyôko Kagawa","Actionnaire d’une grande fabrique de chaussures, Kingo Gondo décide de rassembler tous ses biens pour racheter les actions nécessaires pour devenir majoritaire. C’est alors qu’on lui apprend qu’on a enlevé son fils et qu’une rançon est exigée. Mais, second coup de théâtre, c’est le fils de son chauffeur qui a été enlevé…","3,9","4,3",--
Vivre,25 janvier 2017,,2h 23min,Drame,"Takashi Shimura,Shin'ichi Himori,Haruo Tanaka","Atteint d'un cancer, Watanabe, chef de service du génie civil, décide de réaliser le projet qu'il avait tout d'abord repoussé, celui d'assainir un terrain vague du quartier de Hureocho pour que les enfants puissent jouer dans un véritable jardin.",,"4,3",
Capharnaüm,,Nadine Labaki,2h 00min,Drame,"Zain Al Rafeea,Cedra Izam","À l'intérieur d'un tribunal, Zain, un garçon de 12 ans, est présenté devant le juge. À la question : "" Pourquoi attaquez-vous vos parents en justice ? "", Zain lui répond : "" Pour m'avoir donné la vie ! "". Capharnaüm retrace l'incroyable parcours de cet enfant en quête d'identité et qui se rebelle contre la vie qu'on cherche à lui imposer.","3,0","4,3",--
La Nuit du chasseur,13 avril 2011,Charles Laughton,1h 32min,"Drame,Epouvante-horreur,Thriller","Robert Mitchum,Shelley Winters,Lillian Gish","Un prêcheur inquiétant poursuit dans l'Amérique rurale deux enfants dont le père vient d'être condamné pour vol et meurtre. Avant son incarcération, le père leur avait confié dix mille dollars, dont ils ne doivent révéler l'existence à personne...","5,0","4,3",--
Avengers: Infinity War,,Joe Russo,2h 36min,"Action,Aventure,Fantastique","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",Les Avengers et leurs alliés devront être prêts à tout sacrifier pour neutraliser le redoutable Thanos avant que son attaque éclair ne conduise à la destruction complète de l’univers. ,"3,4","4,3",--
Incendies,,Denis Villeneuve,2h 03min,Drame,"Rémy Girard,Lubna Azabal,Mélissa Désormeaux-Poulin","A la lecture du testament de leur mère, Jeanne et Simon Marwan se voient remettre deux enveloppes : l’une destinée à un père qu’ils croyaient mort et l‘autre à un frère dont ils ignoraient l’existence...","3,8","4,3",--
Léon,26 juin 1996,Luc Besson,1h 43min,"Policier,Drame","Jean Reno,Gary Oldman,Natalie Portman","Un tueur à gages répondant au nom de Léon prend sous son aile Mathilda, une petite fille de douze ans, seule rescapée du massacre de sa famille. Bientôt, Léon va faire de Mathilda une ""nettoyeuse"", comme lui...","2,0","4,3",--
Sixième Sens,,M. Night Shyamalan,1h 47min,"Drame,Thriller","Bruce Willis,Haley Joel Osment,Toni Collette","Cole Sear, garconnet de huit ans est hanté par un terrible secret. Son imaginaire est visité par des esprits menaçants...","4,0","4,3",--
Batman contre le fantôme masqué,,Eric Radomski,1h 16min,"Action,Animation","Kevin Conroy,Dana Delany,Mark Hamill","Un parrain de la pègre est assassiné par un homme en cape noire. Le nouveau procureur Arthur Reeves accuse Batman. Désormais traqué, Batman enquête pour retrouver le véritable meurtrier. Mais dans le même temps, Bruce Wayne retrouve aussi une ancienne petite-amie, Andréa Beaumont, dont le père fut autrefois mêlé aux affaires des ...",,"4,3",
La Vie est belle,24 décembre 2014,Frank Capra,2h 09min,"Comédie,Comédie dramatique,Drame","James Stewart,Donna Reed,Lionel Barrymore","Le décès de son père oblige un homme à reprendre l'entreprise familiale de prêts à la construction, qui permet aux plus déshérités de se loger. Il entre en conflit avec l'homme le plus riche de la ville, qui tente de ruiner ses efforts...","5,0","4,3",--
Là-haut,,Pete Docter,1h 35min,"Animation,Famille,Fantastique","Charles Aznavour,Edward Asner,Tom Trouffier","Carl Fredricksen, vendeur de ballons à la retraite, s’envole vers le ciel en attachant des milliers de ballons à sa maison. Un jeune garçon nommé Russell devient un passager clandestin de son voyage.","4,6","4,3",--
The Truman Show,15 juin 2022,Peter Weir,1h 43min,"Comédie,Drame","Jim Carrey,Laura Linney,Natascha McElhone","Truman Burbank mène une vie calme et heureuse. Il habite dans un petit pavillon propret de la radieuse station balnéaire de Seahaven. Il part tous les matins à son bureau d'agent d'assurances dont il ressort huit heures plus tard pour regagner son foyer, savourer le confort de son habitat modèle, la bonne humeur inaltérable et le sourire mécanique de sa femme, Meryl. Mais parfois, Truman étouffe sous tant de bonheur et la nuit l'angoisse le submerge. Il se sent de plus en plus étranger, comme si son entourage jouait un rôle. Il se sent observé...","3,6","4,3",--
Titanic,8 février 2023,James Cameron,3h 14min,"Drame,Romance","Leonardo DiCaprio,Kate Winslet,Billy Zane","Southampton, 10 avril 1912. Le paquebot le plus grand et le plus moderne du monde, réputé pour son insubmersibilité, le Titanic appareille pour son premier voyage. Quatre jours plus tard, il heurte un iceberg. A son bord, un artiste pauvre et une grande bourgeoise tombent amoureux.","4,9","4,3",--
Le Garçon et la Bête,,Mamoru Hosoda,1h 59min,"Aventure,Animation","Koji Yakusho,Aoi Miyazaki,Shôta Sometani","Shibuya, le monde des humains, et Jutengai, le monde des Bêtes... C'est l'histoire d'un garçon solitaire et d'une Bête seule, qui vivent chacun dans deux mondes séparés. Un jour, le garçon se perd dans le monde des Bêtes où il devient le disciple de la Bête Kumatetsu qui lui donne le nom de Kyuta. ","4,0","4,3",--
Chantons sous la pluie,1 juin 2022,Stanley Donen,1h 43min,Comédie musicale,"Jean Hagen,Debbie Reynolds","Les films muets laissent place aux films parlants - et le danseur devenu chanteur est lui aussi pris dans cette transition compliquée, tout comme son ami, sa petite amie et sa désagréable co-star.","4,8","4,3",--
Citizen Kane,20 mars 2002,Orson Welles,1h 59min,Drame,"Joseph Cotten,Dorothy Comingore","A la mort du milliardaire Charles Foster Kane, un grand magnat de la presse, Thompson, un reporter, enquête sur sa vie. Les contacts qu'il prend avec ses proches lui font découvrir un personnage gigantesque, mégalomane, égoïste et solitaire.","4,8","4,3",--
Les Tontons flingueurs,10 septembre 2009,Georges Lautner,1h 45min,"Comédie,Policier","Lino Ventura,Bernard Blier,Francis Blanche","La vie de Fernand Naudin, ex-truand devenu depuis petit propriétaire d'une usine de tracteurs, est bouleversée quand son ami d'enfance, un gangster notoire, l'appelle à son chevet...","3,8","4,3",--
Danse avec les loups,,Kevin Costner,3h 54min,Western,"Mary McDonnell,Rodney A. Grant","Le jeune lieutenant John Dunbar est envoyé à un poste de reconnaissance dans les immenses plaines du Dakota pendant la guerre de Sécession. Il rencontre au cours de l'une de ses missions de reconnaissance le peuple sioux.
Le lieutenant se lie d'amitié avec la population indienne. Il arrive même à intégrer la tribu, au point d'être ...","5,0","4,3",--
The Dark Knight Rises,,Christopher Nolan,2h 44min,"Action,Thriller","Christian Bale,Gary Oldman,Tom Hardy","Il y a huit ans, Batman a disparu dans la nuit : lui qui était un héros est alors devenu un fugitif. Mais l'arrivée à Gotham de Bane, terroriste masqué, risque d'arracher Bruce à l'exil qu'il s'est imposé. Pourtant, Batman n'est peut-être plus de taille à affronter Bane…","3,6","4,3",--
L'Accusé,,Oriol Paulo,1h 50min,"Policier,Thriller","Mario Casas,Bárbara Lennie,Ana Wagener","Après s’être réveillé à côté du corps sans vie de sa petite amie à l’hôtel, un homme d’affaires engage une grande avocate pour comprendre ce qui s’est passé.",,"4,3",
12 Years a Slave,,Steve McQueen (II),2h 13min,"Drame,Historique","Chiwetel Ejiofor,Michael Fassbender,Benedict Cumberbatch","Les États-Unis, quelques années avant la guerre de Sécession.  Solomon Northup, jeune homme noir originaire de l’État de New York, est enlevé et vendu comme esclave. Face à la cruauté d’un propriétaire de plantation de coton, Solomon se bat pour rester en vie et garder sa dignité. ","4,2","4,3",--
Baby Cart la saga,,Kenji Misumi,2h 13min,"Drame,Historique",Tomisaburo Wakayama,L'intégrale de la saga culte composée de ses six volets.,"4,5","4,3",--
Les Contes de la lune vague après la pluie,31 juillet 2019,Kenji Mizoguchi,1h 37min,"Drame,Fantastique","Machiko Kyô,Mitsuko Mito,Kinuyo Tanaka","XVIe siècle. Deux villageois ambitieux partent à l’aventure : le potier Genjuro désire profiter de la guerre pour s’enrichir, le paysan Tobei rêve de devenir un grand samouraï. À la ville, Genjuro est entraîné par une belle et étrange princesse dans son manoir où il succombe à ses sortilèges... ","5,0","4,3",--
Le Cercle des poètes disparus,,Peter Weir,2h 08min,Comédie dramatique,"Robin Williams,Ethan Hawke,Robert Sean Leonard","Todd Anderson, un garçon plutôt timide, est envoyé dans la prestigieuse académie de Welton, réputée pour être l'une des plus fermées et austères des États-Unis, là où son frère avait connu de brillantes études.C'est dans cette université qu'il va faire la rencontre d'un professeur de lettres anglaises plutôt étrange, Mr Keating, ...","4,0","4,3",--
Le Discours d'un roi,,Tom Hooper,1h 58min,"Biopic,Drame,Historique","Colin Firth,Helena Bonham Carter,Derek Jacobi","Le Roi d'Angleterre George VI (1895-1952), père de la Reine Elizabeth II, souffrait de problèmes d'élocution. Ce film raconte comment un orthophoniste peu ordinaire, Lionel Logue, parvint à le guérir...","4,0","4,3",--
Au Revoir Là-haut,,Albert Dupontel,1h 57min,Comédie dramatique,"Nahuel Perez Biscayart,Laurent Lafitte","Novembre 1919. Deux rescapés des tranchées, l'un dessinateur de génie, l'autre modeste comptable, décident de monter une arnaque aux monuments aux morts. Dans la France des années folles, l'entreprise va se révéler aussi dangereuse que spectaculaire..","3,9","4,3",--
Les Nuits de Cabiria,19 février 2020,Federico Fellini,1h 55min,Drame,"Giulietta Masina,François Périer,Franca Marzi","Cabiria, une petite prostituée romaine, est une gentille fille, assez naïve malgré son dur métier. En dehors de ses clients, les hommes qu'elle rencontre font montre envers elle d'une grande cruauté. Avec une foi inébranlable, Cabiria ne désespère pas de voir tourner sa chance et persiste à chercher l'amour.","4,5","4,3",--
Le Peuple Loup,,Tomm Moore,1h 43min,"Aventure,Animation,Famille","Lévanah Solomon,Honor Kneafsey,Lana Ropion","En Irlande, au temps des superstitions et de la magie, Robyn, une jeune fille de 11 ans, aide son père à chasser la dernière meute de loups. Mais un jour, lors d’une battue en forêt, Robyn rencontre Mebh, petite fille le jour, louve la nuit.","4,2","4,3",--
Togo,,Ericson Core,1h 53min,"Aventure,Famille,Historique","Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl","Quand une épidémie de diphtérie ravage un village isolé d'Alaska durant l'hiver 1925, la population est en émoi car l'antitoxine nécessaire à leur guérison se trouve à des centaines de kilomètres de là. Les responsables du village s'en remettent alors à Leonhard Seppala, accompagné de son chien de traîneau, Togo.",,"4,3",
Warrior,,Gavin O'Connor,2h 20min,"Action,Drame","Joel Edgerton,Tom Hardy,Jennifer Morrison","Pour remporter un tournoi de free fight qui lui permettrait de payer l'opération de sa femme, le benjamin d'une famille de boxeurs accepte d'être coaché par son père, un ancien boxeur alcoolique auquel il ne parle plus depuis des années.","3,6","4,3",--
Boulevard du crépuscule,9 novembre 2016,Billy Wilder,1h 50min,"Drame,Romance","William Holden,Gloria Swanson,Erich Von Stroheim","Un scénariste qui a du mal à percer, est embauché par une ancienne star du muet, disparu d’Hollywood, pour écrire un scénario.","4,4","4,3",--
Ma Vie De Courgette,,Claude Barras,1h 06min,"Animation,Drame,Famille","Gaspard Schlatter,Sixtine Murat,Paulin Jaccoud","Courgette n’a rien d’un légume, c’est un vaillant petit garçon. Il croit qu’il est seul au monde quand il perd sa mère. Mais c’est sans compter sur les rencontres qu’il va faire dans sa nouvelle vie au foyer pour enfants. ","4,4","4,3",--
L'Inconnu,19 juin 2002,Tod Browning,1h 05min,"Drame,Romance","Lon Chaney,Joan Crawford,Nick De Ruiz","Alonzo, ""l'homme sans bras"" d'un cirque installé à Madrid, tire à la carabine et lance des poignards avec ses pieds sur Estrellita, sa jolie partenaire dont il est secrètement amoureux. Mais l'hercule Malabar convoite également la jeune fille...","5,0","4,3",--
La Barbe à papa,25 septembre 2013,Peter Bogdanovich,1h 42min,Comédie dramatique,"Ryan O'Neal,Tatum O'Neal,Madeline Kahn","Kansas, dans les années 30, Moses Pray, escroc à la petite semaine, assiste à l’enterrement d’une ex-maîtresse et accepte d’emmener sa prétendue fille de 9 ans, Addie, chez une tante. Pendant leur trajet, leurs rapports sont tendus.","5,0","4,3",--
Quand passent les cigognes,30 octobre 2019,Mikhail Kalatozov,1h 37min,"Drame,Romance,Guerre","Tatiana Samoilova,Aleksey Batalov,Vasili Merkuryev","Moscou, 1941. Veronika et Boris sont éperdument amoureux. Mais lorsque l’Allemagne envahit la Russie, Boris s’engage et part sur le front. Mark, son cousin, évite l’enrôlement et reste auprès de Veronika qu’il convoite...","4,2","4,3",--
L'Argent de la vieille,12 juillet 2006,Luigi Comencini,1h 58min,Comédie,"Alberto Sordi,Silvana Mangano,Bette Davis","Une américaine très riche est passionnée par les jeux de cartes. Son jeu préféré est le ""scopone scientifico"" auquel elle joue quand elle est en Italie. Là-bas, sa demeure surplombe un bidonville de Rome et madame se plaît à défier les pauvres gens au cours de parties où elle est sûre de remporter la mise...","5,0","4,3",--
L'Armée des Ombres,6 mai 2015,Jean-Pierre Melville,2h 20min,"Drame,Guerre","Lino Ventura,Simone Signoret,Paul Crauchet","France 1942. Gerbier, ingénieur des Ponts et Chaussées est également l'un des chefs de la Résistance. Dénoncé et capturé, il est incarcéré dans un camp de prisonniers. Alors qu'il prépare son évasion, il est récupéré par la Gestapo...","4,5","4,3",--
Mirage de la vie,7 août 2019,Douglas Sirk,2h 05min,"Drame,Romance","Lana Turner,John Gavin,Sandra Dee","Dans les années 1950, deux femmes, l’une blanche et l’autre noire, élèvent ensemble leurs filles. Mais lorsque celles-ci grandissent, des conflits vont conduire au drame...","4,3","4,3",--
Umberto D.,17 novembre 2021,Vittorio De Sica,1h 29min,Drame,"Carlo Battisti,Maria-Pia Casilio,Lina Gennari","Fonctionnaire à la retraite, Umberto ne parvient plus à subvenir à ses besoins. N’ayant pour seul refuge qu’une pension en piteux état, le vieil homme occupe ses journées à trouver de quoi manger avec pour seul compagnon son chien Flike. Lorsque sa propriétaire menace de l’expulser, Umberto n’a plus qu’à compter sur l’appui de Maria, la jeune femme de chambre qu’il a prise sous son aile...","4,5","4,3",--
7. Koğuştaki Mucize,,Mehmet Ada Öztekin,2h 12min,Drame,"Aras Bulut İynemli,Nisa Sofiya Aksongur,Deniz Baysal","Séparé de sa fille, un père avec un handicap mental doit prouver son innocence lorsqu’il est arrêté pour le meurtre d’une enfant.",,"4,3",
The Father,,Florian Zeller,1h 38min,Drame,"Anthony Hopkins,Olivia Colman,Mark Gatiss","THE FATHER raconte la trajectoire intérieure d’un homme de 81 ans, Anthony, dont la réalité se brise peu à peu sous nos yeux. Mais c’est aussi l’histoire d’Anne, sa fille, qui tente de l’accompagner dans un labyrinthe de questions sans réponses.","3,9","4,3",--
"Batman: The Dark Knight Returns, Part 2",,Jay Oliva,1h 16min,"Action,Animation","Peter Weller,Ariel Winter,David Selby","Batman, s'activant à arrêter les multiples gangs nés de la dissolution du gang des mutants voit ressurgir un vieil ennemi du passé : le Joker.",,"4,3",
Les Chaussons rouges,7 avril 2010,Michael Powell,2h 13min,"Drame,Musical,Romance","Anton Walbrook,Moira Shearer,Marius Goring","Vicky, danseuse, et Julian, compositeur, sont engagés dans une troupe de ballet. Tyrannique, le directeur pousse Vicky à s'identifier à l'héroïne du ballet ""Les Chaussons rouges"". Elle y sacrifie tout, même son amour pour Julien.","5,0","4,3",--
Raging Bull,4 septembre 2002,Martin Scorsese,2h 09min,"Biopic,Drame","Robert De Niro,Cathy Moriarty,Joe Pesci",La carrière éblouissante du boxeur Jake La Motta. Une ascension aussi fulgurante que sa chute.,"5,0","4,3",--
Heat,21 mars 2018,Michael Mann,2h 50min,"Policier,Drame","Al Pacino,Val Kilmer","À travers l'affrontement d'un chef de gang redoutable et d'un lieutenant de police opiniâtre, ce film explore l'univers policier de Los Angeles et entrecroise les destinées de trois couples en crise.","3,2","4,3",--
Et pour quelques dollars de plus,4 novembre 2009,Sergio Leone,2h 10min,Western,"Clint Eastwood,Lee Van Cleef,Gian Maria Volontè","Le colonel Douglas Mortimer collabore avec un chasseur de primes surnommé L'""Etranger"". Tous les deux souhaitent capturer Indio, un tueur fou, qui sème la terreur autour de lui.","3,7","4,3",--
Le Château ambulant,,Hayao Miyazaki,1h 59min,"Animation,Fantastique","Chieko Baishô,Takuya Kimura,Akihiro Miwa","La jeune Sophie, 18 ans, travaille inlassablement dans la chapellerie autrefois tenue par son père, malheureusement décédé. Résignée à son sort, c’est lors de l’une de ses rares sorties en ville qu’elle fait la connaissance du beau Hauru, un magicien. Mais la sorcière des Landes, jalouse de cette rencontre, jette un sort à Sophie, la transformant en vieille dame. Accablée par sa nouvelle apparence, Sophie s’enfuit dans les montagnes et tombe sur la demeure de Hauru : son Château Ambulant. Et si tout ceci n’était que le commencement d’une merveilleuse histoire ?","4,3","4,3",--
Scarface,30 octobre 2013,Brian De Palma,2h 45min,"Action,Drame","Michelle Pfeiffer,Steven Bauer","En 1980, Tony Montana bénéficie d'une amnistie du gouvernement cubain pour retourner en Floride. Ambitieux et sans scrupules, il élabore un plan pour éliminer un caïd de la pègre et prendre la place qu'il occupait sur le marché de la drogue.","3,9","4,3",--
Vice Versa,,Pete Docter,1h 35min,"Animation,Comédie,Famille","Charlotte Le Bon,Amy Poehler,Pierre Niney","Au Quartier Général, le centre de contrôle situé dans la tête de la petite Riley, 11 ans, cinq Émotions sont au travail. Lorsque la famille de Riley emménage dans une grande ville, avec tout ce que cela peut avoir d’effrayant, les Émotions ont fort à faire pour guider la jeune fille durant cette difficile transition.","4,7","4,3",--
Aladdin,,John Musker,1h 30min,"Animation,Comédie musicale,Romance","Paolo Domingo,Scott Weinger,Richard Darbois","Comment Aladdin, grâce à la félonie du grand vizir, va se procurer la lampe magique qui héberge le fameux génie et nous entraîner dans la plus étonnante des aventures.","4,4","4,3",--
Rush,,Ron Howard,2h 03min,"Biopic,Drame","Chris Hemsworth,Daniel Brühl,Olivia Wilde","Situé durant l’âge d’or de la Formule 1, RUSH retrace le passionnant et haletant combat entre deux des plus grands rivaux que l’histoire du sport ait jamais connus, celui de James Hunt et Niki Lauda concourant pour les illustres écuries McLaren et Ferrari.","4,1","4,3",--
Fanny et Alexandre - Partie 1,,Ingmar Bergman,2h 51min,Drame,"Pernilla Allwin,Bertil Guve,Kristina Adolphson","Suède, début du XXème siècle. Le film dépeint la vie d'une jeune fille, Fanny, et de son frère Alexandre au sein d'une famille aisée. Les parents travaillent dans le théâtre et sont très heureux ensemble jusqu'à la mort subite du père. Peu après ce drame, la mère trouve un prétendant...",,"4,3",
Retour vers le futur II,,Robert Zemeckis,1h 48min,"Aventure,Comédie,Science Fiction","Michael J. Fox,Christopher Lloyd,Lea Thompson","Lors de son premier voyage en 1985, Marty a commis quelques erreurs. L'avenir qu'il s'était tracé n'est pas si rose, et son rejeton est tombé sous la coupe du voyou Griff Tannen, qui veut régner sur la ville. En compagnie de son ami Emmett ""Doc"" Brown et de sa fiancée Jennifer, Marty va devoir entreprendre un voyage vers le futur, pour tenter de donner un peu plus de moralité à son héritier. Un voyage aux conséquences dramatiques...","1,6","4,3",--
L'Enfer est à lui,22 octobre 2003,Raoul Walsh,1h 54min,"Action,Policier,Drame","James Cagney,Virginia Mayo,Edmond O'Brien","Cody Jarrett et ses complices attaquent un train en Californie. Pendant l'opération, quatre employés sont tués. La police est déterminée à retrouver les coupables et surveille la mère de Cody, à laquelle ce dernier voue une adoration pathologique...",,"4,3",
La Colline des hommes perdus,11 juillet 2012,Sidney Lumet,"2h 03min
 ","Drame,Guerre","Sean Connery,Harry Andrews,Ian Bannen","Durant la Seconde Guerre mondiale, un camp disciplinaire situé en Libye et dirigé par le sergent-major Wilson accueille cinq nouveaux prisonniers. Le terrible sergent Williams est nommé par Wilson pour en faire de vrais soldats.","5,0","4,3",--
Assurance sur la mort,31 janvier 2018,Billy Wilder,1h 47min,"Policier,Thriller","Fred MacMurray,Barbara Stanwyck,Edward G. Robinson","Walter Neff, un employé d’une compagnie d’assurances, tombe amoureux de sa cliente Phyllis Dietrichson qui réussit à le convaincre d’échafauder avec elle un plan pour supprimer son mari encombrant et violent et ainsi partager avec elle l’assurance-vie de ce dernier.","4,6","4,3",--
Avatar,21 septembre 2022,James Cameron,2h 42min,"Aventure,Science Fiction","Sam Worthington,Zoe Saldana,Sigourney Weaver","Sur la lointaine planète de Pandora, Jake Sully, un héros malgré lui, se lance dans une quête de rédemption, de découverte, d'amour inattendu, dont l'issue sera un combat héroïque pour sauver toute une civilisation.","4,3","4,3",--
Casino,14 octobre 2015,Martin Scorsese,2h 58min,Drame,"Robert De Niro,Sharon Stone,Joe Pesci","En 1973, Sam Ace Rothstein est le grand manitou de la ville de toutes les folies, Las Vegas. Il achète et épouse une virtuose de l’arnaque, Ginger Mc Kenna, qui sombre bien vite dans l’alcool et la drogue. Mais un autre ennui guette Sam, son ami d’enfance Nicky Santoro, qui entreprend de mettre la ville en coupe réglée…","4,4","4,3",--
La Couleur des sentiments,,Tate Taylor,2h 26min,Drame,"Emma Stone,Jessica Chastain,Viola Davis",Evocation de la vie des domestiques et serviteurs afro-américains chez une riche famille dans le Mississippi d'avant la lutte pour les droits civils.,"2,6","4,3",--
Zootopie,,Byron Howard,1h 48min,"Animation,Comédie,Famille","Marie-Eugénie Maréchal,Ginnifer Goodwin,Alexis Victor","Zootopie est une ville qui ne ressemble à aucune autre : seuls les animaux y habitent ! Lorsque l'adorable lapine Judy Hopps fait son entrée dans la police, elle s’attaque à une épineuse affaire, l'obligeant à faire équipe avec Nick Wilde, un renard à la langue bien pendue et véritable virtuose de l’arnaque…","4,0","4,3",--
Dragons,,Chris Sanders,1h 33min,"Aventure,Animation,Famille","Donald Reignoux,Jay Baruchel,Emmanuel Jacomy","Pour pouvoir devenir un membre à part entière de sa tribu, le jeune fils d'un chef Viking doit capturer et élever un dragon.","3,9","4,3",--
