title,release_date,director,duration,category,actor,resume,press_rating,spectator_rating,friend_rating
Green Book : Sur les routes du sud,,Peter Farrelly,2h 10min,"Biopic,Drame","Viggo Mortensen,Mahershala Ali,Linda Cardellini","En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts.","4,0","4,5",--
Inception,12 août 2020,Christopher Nolan,2h 28min,"Science Fiction,Thriller","Leonardo DiCaprio,Marion Cotillard,Elliot Page","Au lieu de subtiliser un rêve, un voleur expérimenté et son équipe doivent faire l'inverse : implanter une idée dans l'esprit d'un individu. S'ils y parviennent, il pourrait s'agir du crime parfait ...","4,1","4,5",--
Retour vers le futur,,Robert Zemeckis,1h 56min,"Aventure,Comédie,Science Fiction","Michael J. Fox,Christopher Lloyd,Lea Thompson","Après être arrivé en 1955 à bord d'une DeLorean convertie en machine à remonter le temps, Marty McFly fonce pour s'assurer que ses futurs parents tombent amoureux.","3,6","4,5",--
La Vie est belle,,Roberto Benigni,1h 57min,"Comédie,Drame","Horst Buchholz,Marisa Paredes","En 1938, Guido, jeune homme plein de gaieté, rêve d'ouvrir une librairie, malgré les tracasseries de l'administration fasciste. Il tombe amoureux de Dora, institutrice étouffée par le conformisme familial et l'enlève le jour de ses fiançailles avec un bureaucrate du régime. Cinq ans plus tard, Guido et Dora ont un fils: Giosue. Mais les ...","3,7","4,4",--
Usual Suspects,18 juillet 2001,Bryan Singer,1h 46min,"Policier,Thriller","Chazz Palminteri,Kevin Spacey,Gabriel Byrne","Suite à une mystérieuse dénonciation, cinq criminels se retrouvent en garde à vue. Plus tard, engagés sur un coup par le génie du crime Keyser Söze, les cinq hommes sont pris au piège d’une diabolique machination…","4,6","4,4",--
Les Temps modernes,10 juillet 2019,Charles Chaplin,1h 27min,"Comédie dramatique,Romance","Paulette Goddard,Henry Bergman","Charlot est ouvrier dans une immense usine. Il resserre quotidiennement des boulons. Mais les machines, le travail à la chaîne le rendent malade, il abandonne son poste et recueille une orpheline…","4,6","4,4",--
Le Kid,10 juillet 2019,,0h 52min,Comédie,"Jackie Coogan,Edna Purviance","Lâchée par son amant, une jeune femme abandonne son enfant. Charlot le vagabond le recueille. Mais les services sociaux s’en mêlent...","4,0","4,4",--
Le Tombeau des lucioles,,Isao Takahata,1h 30min,"Animation,Drame,Guerre","J. Robert Spencer,Ayano Shiraishi,Veronica Taylor","Japon, été 1945. Après le bombardement de Kobé, Seita, un adolescent de quatorze ans et sa petite soeur de quatre ans, Setsuko, orphelins, vont s'installer chez leur tante à quelques dizaines de kilomètres de chez eux. Celle-ci leur fait comprendre qu'ils sont une gêne pour la famille et doivent mériter leur riz quotidien. Seita décide de ...","4,0","4,4",--
Whiplash,,Damien Chazelle,1h 47min,"Drame,Musical","Miles Teller,J.K. Simmons,Paul Reiser","Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement...","4,1","4,4",--
American History X,,Tony Kaye,1h 59min,Drame,"Edward Norton,Edward Furlong,Elliott Gould","Derek veut venger la mort de son père, abattu par un dealer noir, et épouse les thèses racistes d'un groupuscule de militants d'extrême droite. Ces théories le mèneront à commettre un double meurtre...","2,8","4,4",--
Psychose,6 avril 2022,Alfred Hitchcock,1h 49min,"Epouvante-horreur,Thriller","Anthony Perkins,Janet Leigh,John Gavin",Une jeune femme en fuite trouve refuge dans un motel isolé...,"4,5","4,4",--
Le Silence des agneaux,7 octobre 2020,Jonathan Demme,1h 58min,"Drame,Thriller","Anthony Hopkins,Jodie Foster,Scott Glenn","Clarice Starling, jeune stagiaire du FBI, est désignée pour enquêter sur une série de meurtres épouvantables commis dans le Middle West par un tueur de femmes psychopathe connu sous le nom de Buffalo Bill.","4,8","4,4",--
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles),12 mars 1997,George Lucas,2h 01min,"Aventure,Science Fiction","Mark Hamill,Harrison Ford,Carrie Fisher","Il y a bien longtemps, dans une galaxie très lointaine... La guerre civile fait rage entre l'Empire galactique et l'Alliance rebelle.","4,8","4,4",--
Joker,,Todd Phillips,2h 02min,Drame,"Joaquin Phoenix,Robert De Niro,Zazie Beetz","Le film, qui relate une histoire originale inédite sur grand écran, se focalise sur la figure emblématique de l’ennemi juré de Batman. Il brosse le portrait d’Arthur Fleck, un homme sans concession méprisé par la société.","4,1","4,4",--
L'Intendant Sansho,31 juillet 2019,Kenji Mizoguchi,2h 04min,Drame,"Kinuyo Tanaka,Yoshiaki Hanayagi,Kyôko Kagawa","XIe siècle. Un gouverneur de province est exilé pour avoir pris le parti des paysans contre l’avis d’un chef militaire. Contraints de reprendre la route de son village natal, sa femme Nakagimi et ses enfants Anju et Zushio sont kidnappés par des bandits de grand chemin...","5,0","4,4",--
Star Wars : Episode VI - Le Retour du Jedi,23 avril 1997,Richard Marquand,2h 13min,"Aventure,Science Fiction","Kinuyo Tanaka,Yoshiaki Hanayagi,Kyôko Kagawa","L'Empire galactique est plus puissant que jamais : la construction de la nouvelle arme, l'Etoile de la Mort, menace l'univers tout entier...","3,0","4,4",--
Lion,,Garth Davis,1h 58min,"Biopic,Drame","Dev Patel,Rooney Mara,Nicole Kidman","Une incroyable histoire vraie :  à 5 ans, Saroo se retrouve seul dans un train traversant l’Inde qui l’emmène malgré lui à des milliers de kilomètres de sa famille. Perdu, le petit garçon doit apprendre à survivre seul dans l’immense ville de Calcutta.","3,1","4,4",--
Hamilton,,Thomas Kail,2h 40min,"Biopic,Historique,Musical","Lin-Manuel Miranda,Jonathan Groff (II),Daveed Diggs","Captation de la célèbre comédie musicale de Broadway récompensée par 11 Tony, Grammy et Olivier Awards, et par un prix Pulitzer. Hamilton raconte l'histoire d'Alexander Hamilton, l'un des Pères fondateurs de la nation américaine.",,"4,4",
Million Dollar Baby,,Clint Eastwood,2h 12min,Drame,"Morgan Freeman,Hilary Swank","Replié sur lui-même, l'entraîneur Frankie Dunn vit dans un désert affectif, en évitant toute relation qui pourrait accroître sa douleur et sa culpabilité. Un jour, une trentenaire pousse la porte de son gymnase à la recherche d'un coach...","4,9","4,4",--
Tu ne tueras point,,Mel Gibson,2h 20min,"Biopic,Drame,Guerre","Andrew Garfield,Vince Vaughn,Teresa Palmer","1945, alors que la guerre dans le Pacifique fait rage et que les forces américaines mènent l’une des batailles les plus acharnées du conflit sur l’île d’Okinawa, un soldat s’est distingué. Fidèle à ses convictions et armé de son seul courage, il a sauvé la vie de dizaines de soldats blessés.","3,0","4,4",--
Les Lumières de la ville,10 juillet 2019,Charles Chaplin,1h 27min,"Comédie dramatique,Romance","Virginia Cherrill,Harry Myers","Un vagabond s’éprend d’une belle et jeune vendeuse de fleurs aveugle qui vit avec sa mère, couverte de dettes. Suite à un quiproquo, la fleuriste s’imagine le misérable, qui vient de lui acheter une fleur, en milliardaire...","4,5","4,4",--
"Les Enfants Loups, Ame & Yuki",,Mamoru Hosoda,1h 57min,"Animation,Fantastique","Kumiko Aso,Megumi Hayashibara,Takuma Hiraoka","Hana et ses deux enfants, Ame et Yuki, vivent discrètement dans un coin tranquille de la ville. Leur vie est simple et joyeuse, mais ils cachent un secret : leur père est un homme-loup. Quand celui-ci disparaît brutalement, Hana décide de quitter la ville pour élever ses enfants...","4,1","4,4",--
Voyage au bout de l'enfer,25 juillet 2018,Michael Cimino,3h 03min,"Drame,Guerre","Robert De Niro,Christopher Walken,Meryl Streep","Cinq ouvriers sidérurgistes affrontent les hauts fourneaux d'une petite ville de Pennsylvannie et partent ensemble chasser le cerf. Parce que c'est la guerre au Vietnam, trois d'entre eux deviennent soldats sur le départ...","4,7","4,4",--
Apocalypse Now Final Cut,21 août 2019,Francis Ford Coppola,3h 02min,"Drame,Guerre","Martin Sheen,Frederic Forrest,Robert Duvall","Cloîtré dans une chambre d'hôtel de Saïgon, le jeune capitaine Willard, mal rasé et imbibé d'alcool, est sorti de sa prostration par une convocation de l'état-major américain. Le général Corman lui confie une mission qui doit rester secrète : éliminer le colonel Kurtz, un militaire aux méthodes quelque peu expéditives...","4,8","4,4",--
Le Voyage de Chihiro,,Hayao Miyazaki,2h 05min,"Aventure,Animation","Rumi Hiiragi,Miyu Irino,Mari Natsuki","Chihiro, une fillette de 10 ans, est en route vers sa nouvelle demeure en compagnie de ses parents. Au cours du voyage, la famille fait une halte dans un parc à thème qui leur paraît délabré. Lors de la visite, les parents s’arrêtent dans un des bâtiments pour déguster quelques mets très appétissants, apparus comme par enchantement. Hélas cette nourriture les transforme en porcs. Prise de panique, Chihiro s’enfuit et se retrouve seule dans cet univers fantasmagorique ; elle rencontre alors l’énigmatique Haku, son seul allié dans cette terrible épreuve...","4,8","4,4",--
Les Sentiers de la gloire,23 mars 2011,Stanley Kubrick,1h 28min,"Drame,Guerre","Kirk Douglas,Ralph Meeker,Adolphe Menjou","Durant la Première Guerre mondiale, le général français Mireau lance une offensive suicidaire contre une position allemande imprenable. Au moment de l'attaque, les soldats tombent par dizaines et leurs compagnons refusent d'avancer...","4,6","4,4",--
Intouchables,,Eric Toledano,1h 52min,Drame,"François Cluzet,Omar Sy,Anne Le Ny","La rencontre improbable, touchante et drôle entre un riche aristocrate, tétraplégique depuis un accident de parapente, et un jeune de banlieue engagé par hasard pour être son aide à domicile...","3,7","4,4",--
Indiana Jones et la Dernière Croisade,,Steven Spielberg,2h 07min,"Action,Aventure","Harrison Ford,Sean Connery,Denholm Elliott","L'archéologue aventurier Indiana Jones se retrouve aux prises avec un maléfique milliardaire. Aux côtés de la cupide Elsa et de son père, il part à la recherche du Graal.","4,4","4,4",--
Le Pianiste,,Roman Polanski,2h 28min,"Drame,Historique","Adrien Brody,Thomas Kretschmann,Emilia Fox","Durant la Seconde Guerre mondiale, Wladyslaw Szpilman, un pianiste juif polonais, est interné dans le ghetto de Varsovie dont il partage les souffrances, les humiliations et les luttes héroïques. Un officier allemand l'aide et lui permet de survivre.","4,1","4,4",--
Spider-Man : New Generation,,Bob Persichetti,1h 57min,"Action,Animation,Famille","Stéphane Bak,Shameik Moore,Jake Johnson (XVI)","SPIDER-MAN : NEW GENERATION présente Miles Morales, un adolescent vivant à Brooklyn, et révèle les possibilités illimitées du Spider-Verse, un univers où plus d’un peut porter le masque…","4,2","4,4",--
Princesse Mononoké,,,2h 15min,"Animation,Drame","Gillian Anderson,Claire Danes,Pamela Adlon","Japon, XVe siècle. Jadis protégée par des animaux géants, la forêt se dépeuple à cause de l'homme. Blessé par un sanglier rendu fou par les démons, le jeune guerrier Ashitaka quitte les siens et part à la recherche du dieu-cerf qui seul pourra défaire le sortilège qui lui gangrène le bras. Au cours de son voyage, Ashitaka rencontre Lady Eboshi, à la tête d’une communauté de forgerons, qui doit se défendre contre ceux qui lui reprochent de détruire la forêt pour alimenter ses forges. Parmi ses pires ennemis se trouve San, une jeune fille sauvage élevée par des loups, aussi appelée ""Princesse Mononoké"", la princesse des spectres...","4,8","4,4",--
Ip Man,,Wilson Yip,1h 45min,"Biopic,Arts Martiaux","Donnie Yen,Simon Yam,Siu-Wong Fan","Film biographique sur la vie de Ip Man, pionnier du Wing Chun et maitre de Bruce Lee.",,"4,4",
